"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"가평군청",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 가평읍 석봉로 181,경기도 가평군 가평읍 읍내리 513,가평군청,031-580-4605,37.831508,127.509541,2018-08-07
"가평읍",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 가평읍 가화로 62,경기도 가평군 가평읍 읍내리367,가평군청,031-580-4605,37.825151,127.516455,2018-08-07
"상면사무소",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-10,경기도 가평군 상면 청군로 1103,경기도 가평군 상면 연하리 171,가평군청,031-580-4605,37.804706,127.356821,2018-08-07
"하면사무소",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 조종면 조종내길 71,경기도 가평군 조종면 현리 567-7,가평군청,031-580-4605,37.817546,127.353247,2018-08-07
"북면사무소",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-10,경기도 가평군 북면 화악산로 2,경기도 가평군 북면 목동리 848,가평군청,031-580-4605,37.885624,127.550263,2018-08-07
"청평면사무소",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 청평면 은고개로 19,경기도 가평군 청평면 청평리 333-1,가평군청,031-580-4605,37.740157,127.424155,2018-08-07
"설악면사무소",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-10,경기도 가평군 설악면 한서로 12,경기도 가평군 설악면 신천리 156-1,가평군청,031-580-4605,37.676251,127.494688,2018-08-07
"중앙도서관",열람실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 가평읍 가화로 64,경기도 가평군 가평읍 읍내리 366,가평군청,031-580-4605,37.831371,127.509708,2018-08-07
"청평도서관",열람실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 청평면 은고개로 31,경기도 가평군 청평면 청평리 333-2,가평군청,031-580-4605,37.739718,127.423979,2018-08-07
"조종도서관",열람실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 조종면 조종희망로 26번길 22,경기도 가평군 조종면 현리 420-6,가평군청,031-580-4605,37.818529,127.352844,2018-08-07
"보건소",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 가평읍 가화로 155-15,경기도 가평군 가평읍 읍내리 624-1,가평군청,031-580-4605,37.833513,127.510555,2018-08-07
"상수도사업소",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 가평읍 달전로 31번길 48,경기도 가평군 가평읍 달전리 364,가평군청,031-580-4605,37.807241,127.512313,2018-08-07
"다목적교육관",교육실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100,가평군청,031-580-4605,37.846099,127.499632,2018-08-07
"청평보건지소",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 청평면 은고개로 21,경기도 가평군 청평면 청평리 333-1,가평군청,031-580-4605,37.740178,127.424567,2018-08-07
"상면보건지소",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 상면 청군로 1099,경기도 가평군 상면 연하리 173-3,가평군청,031-580-4605,37.805069,127.357704,2018-08-07
"하면보건지소",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 조종면 조종내길 75,경기도 가평군 조종면 현리 567-7,가평군청,031-580-4605,37.817878,127.353264,2018-08-07
"북면보건지소",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 북면 목동복지로 9-1,경기도 가평군 북면 목동리 847,가평군청,031-580-4605,37.885293,127.549825,2018-08-07
"청소년문화의집",각 층,경기도,가평군,교육시설,"SKT, KT, LGU+",,2017-10,경기도 가평군 가평읍 문화로 120,경기도 가평군 가평읍 대곡리 352,가평군청,031-580-4605,37.823799,127.509435,2018-08-07
"칼봉산휴양림",휴양림 각 객실,경기도,가평군,기타,"SKT, KT, LGU+",,2017-10,경기도 가평군 가평읍 경반안로 454,경기도 가평군 가평읍 경반리 산136,가평군시설관리공단,031-8078-8062,37.835873,127.465524,2018-08-07
"설악도서관",열람실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 설악면 자잠로 65,경기도 가평군 설악면 신천리 516-7,가평군청,031-580-4605,37.683264,127.490848,2018-08-07
"농업기술센터",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100,가평군청,031-580-4605,37.845998,127.498703,2018-08-07
"건강증진센터",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 가평읍 가화로 155-15,경기도 가평군 가평읍 읍내리 624-20,가평군청,031-580-4605,37.832978,127.510785,2018-08-07
"설악보건지소",민원실,경기도,가평군,관공서,"SKT, KT, LGU+",,2017-01,경기도 가평군 설악면 한서로 6,경기도 가평군 설악면 신천리 156-1,가평군청,031-580-4605,37.675939,127.494657,2018-08-07
